arquivo,conteudo
apache.log,"198.51.100.14 - - [23/Oct/2025:09:01:48 -0300] ""POST /wp-login.php HTTP/1.1"" 403 192 ""-"" ""curl/7.79.1"""
apache.log,"192.0.2.90 - - [23/Oct/2025:09:01:50 -0300] ""GET /search.php?q=%3Cscript%3Ealert(1)%3C%2Fscript%3E HTTP/1.1"" 200 700 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.55 - - [23/Oct/2025:09:01:52 -0300] ""GET /index.php?page=../../etc/passwd HTTP/1.1"" 400 421 ""-"" ""sqlmap/1.6.7#stable"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:01:55 -0300] ""GET /admin/login.php HTTP/1.1"" 401 312 ""-"" ""Mozilla/5.0"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:01:58 -0300] ""GET /contact HTTP/1.1"" 301 178 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.120 - - [23/Oct/2025:09:02:01 -0300] ""GET /wp-login.php HTTP/1.1"" 200 5123 ""-"" ""curl/7.79.1"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:02:04 -0300] ""POST /wp-login.php HTTP/1.1"" 200 234 ""-"" ""curl/7.79.1"""
apache.log,"192.0.2.120 - - [23/Oct/2025:09:02:07 -0300] ""GET /api/v1/users HTTP/1.1"" 200 2048 ""-"" ""python-requests/2.28.1"""
apache.log,"203.0.113.59 - - [23/Oct/2025:09:02:10 -0300] ""GET /phpmyadmin HTTP/1.1"" 403 512 ""-"" ""Mozilla/5.0"""
apache.log,"198.51.100.200 - - [23/Oct/2025:09:02:13 -0300] ""GET /.env HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0"""
apache.log,"192.0.2.78 - - [23/Oct/2025:09:02:15 -0300] ""GET /index.php?page=../../etc/passwd HTTP/1.1"" 400 421 ""-"" ""sqlmap/1.6.7#stable"""
apache.log,"203.0.113.9 - - [23/Oct/2025:09:02:18 -0300] ""GET /robots.txt HTTP/1.1"" 200 68 ""-"" ""Mozilla/5.0"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:02:20 -0300] ""GET /xmlrpc.php HTTP/1.1"" 200 1532 ""-"" ""python-requests/2.28.1"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:02:22 -0300] ""GET /index.php HTTP/1.1"" 200 4532 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.55 - - [23/Oct/2025:09:02:25 -0300] ""GET /search.php?q=%27%20OR%20%271%27=%271 HTTP/1.1"" 200 6734 ""-"" ""sqlmap/1.6.7#stable"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:02:28 -0300] ""POST /wp-login.php HTTP/1.1"" 200 234 ""-"" ""curl/7.79.1"""
apache.log,"192.0.2.120 - - [23/Oct/2025:09:02:30 -0300] ""GET /contact HTTP/1.1"" 301 178 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.9 - - [23/Oct/2025:09:02:33 -0300] ""GET /images/admin.png HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0"""
apache.log,"198.51.100.150 - - [23/Oct/2025:09:02:36 -0300] ""GET /admin.php?cmd=id HTTP/1.1"" 500 632 ""-"" ""Mozilla/5.0"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:02:39 -0300] ""GET /.env HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.55 - - [23/Oct/2025:09:02:42 -0300] ""GET /product.php?id=1%27 HTTP/1.1"" 200 10452 ""-"" ""sqlmap/1.6.7#stable"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:02:45 -0300] ""POST /wp-login.php HTTP/1.1"" 403 192 ""-"" ""curl/7.79.1"""
apache.log,"192.0.2.88 - - [23/Oct/2025:09:02:48 -0300] ""GET /index.php?page=../../etc/passwd HTTP/1.1"" 400 421 ""-"" ""sqlmap/1.6.7#stable"""
apache.log,"203.0.113.9 - - [23/Oct/2025:09:02:51 -0300] ""GET /admin/login.php HTTP/1.1"" 401 312 ""-"" ""Mozilla/5.0"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:02:54 -0300] ""GET /xmlrpc.php HTTP/1.1"" 200 1532 ""-"" ""python-requests/2.28.1"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:02:56 -0300] ""GET /contact HTTP/1.1"" 301 178 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.55 - - [23/Oct/2025:09:02:59 -0300] ""GET /search.php?q=%27%20OR%20%271%27=%271 HTTP/1.1"" 200 6734 ""-"" ""sqlmap/1.6.7#stable"""
apache.log,"198.51.100.110 - - [23/Oct/2025:09:03:02 -0300] ""GET /shell.php HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:03:05 -0300] ""GET /index.php HTTP/1.1"" 200 4532 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.9 - - [23/Oct/2025:09:03:08 -0300] ""GET /robots.txt HTTP/1.1"" 200 68 ""-"" ""Mozilla/5.0"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:03:10 -0300] ""POST /wp-login.php HTTP/1.1"" 200 234 ""-"" ""curl/7.79.1"""
apache.log,"192.0.2.120 - - [23/Oct/2025:09:03:13 -0300] ""GET /product.php?id=200 HTTP/1.1"" 200 10452 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.55 - - [23/Oct/2025:09:03:16 -0300] ""GET /index.php?page=../../etc/passwd HTTP/1.1"" 400 421 ""-"" ""sqlmap/1.6.7#stable"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:03:19 -0300] ""GET /xmlrpc.php HTTP/1.1"" 200 1532 ""-"" ""python-requests/2.28.1"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:03:22 -0300] ""GET /.env HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.9 - - [23/Oct/2025:09:03:25 -0300] ""GET /admin/index.php HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:03:28 -0300] ""POST /wp-login.php HTTP/1.1"" 403 192 ""-"" ""curl/7.79.1"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:03:31 -0300] ""GET /contact HTTP/1.1"" 301 178 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.55 - - [23/Oct/2025:09:03:34 -0300] ""GET /search.php?q=%27%20OR%20%271%27=%271 HTTP/1.1"" 200 6734 ""-"" ""sqlmap/1.6.7#stable"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:03:37 -0300] ""GET /xmlrpc.php HTTP/1.1"" 200 1532 ""-"" ""python-requests/2.28.1"""
apache.log,"192.0.2.77 - - [23/Oct/2025:09:03:40 -0300] ""GET /.git/config HTTP/1.1"" 200 512 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.9 - - [23/Oct/2025:09:03:43 -0300] ""GET /robots.txt HTTP/1.1"" 200 68 ""-"" ""Mozilla/5.0"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:03:46 -0300] ""POST /wp-login.php HTTP/1.1"" 200 234 ""-"" ""curl/7.79.1"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:03:49 -0300] ""GET /index.php HTTP/1.1"" 200 4532 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.55 - - [23/Oct/2025:09:03:52 -0300] ""GET /index.php?page=../../etc/passwd HTTP/1.1"" 400 421 ""-"" ""sqlmap/1.6.7#stable"""
apache.log,"198.51.100.200 - - [23/Oct/2025:09:03:55 -0300] ""GET /admin/login.php HTTP/1.1"" 401 312 ""-"" ""Mozilla/5.0"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:03:58 -0300] ""GET /contact HTTP/1.1"" 301 178 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.9 - - [23/Oct/2025:09:04:01 -0300] ""GET /images/admin.png HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:04:04 -0300] ""GET /xmlrpc.php HTTP/1.1"" 200 1532 ""-"" ""python-requests/2.28.1"""
apache.log,"192.0.2.120 - - [23/Oct/2025:09:04:07 -0300] ""GET /product.php?id=500 HTTP/1.1"" 200 10452 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.55 - - [23/Oct/2025:09:04:10 -0300] ""GET /search.php?q=%27%20OR%20%271%27=%271 HTTP/1.1"" 200 6734 ""-"" ""sqlmap/1.6.7#stable"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:04:13 -0300] ""POST /wp-login.php HTTP/1.1"" 403 192 ""-"" ""curl/7.79.1"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:04:16 -0300] ""GET /index.php HTTP/1.1"" 200 4532 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.9 - - [23/Oct/2025:09:04:19 -0300] ""GET /robots.txt HTTP/1.1"" 200 68 ""-"" ""Mozilla/5.0"""
apache.log,"198.51.100.150 - - [23/Oct/2025:09:04:22 -0300] ""GET /shell.php HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:04:25 -0300] ""GET /.env HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.55 - - [23/Oct/2025:09:04:28 -0300] ""GET /product.php?id=1' HTTP/1.1"" 200 10452 ""-"" ""sqlmap/1.6.7#stable"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:04:31 -0300] ""POST /wp-login.php HTTP/1.1"" 200 234 ""-"" ""curl/7.79.1"""
apache.log,"192.0.2.120 - - [23/Oct/2025:09:04:34 -0300] ""GET /api/v1/users HTTP/1.1"" 200 2048 ""-"" ""python-requests/2.28.1"""
apache.log,"203.0.113.9 - - [23/Oct/2025:09:04:37 -0300] ""GET /admin/index.php HTTP/1.1"" 404 209 ""-"" ""Mozilla/5.0"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:04:40 -0300] ""POST /wp-login.php HTTP/1.1"" 403 192 ""-"" ""curl/7.79.1"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:04:43 -0300] ""GET /contact HTTP/1.1"" 301 178 ""-"" ""Mozilla/5.0"""
apache.log,"203.0.113.55 - - [23/Oct/2025:09:04:46 -0300] ""GET /search.php?q=%27%20OR%20%271%27=%271 HTTP/1.1"" 200 6734 ""-"" ""sqlmap/1.6.7#stable"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:04:49 -0300] ""GET /xmlrpc.php HTTP/1.1"" 200 1532 ""-"" ""python-requests/2.28.1"""
apache.log,"192.0.2.99 - - [23/Oct/2025:09:04:52 -0300] ""GET /index.php?page=../../etc/passwd HTTP/1.1"" 400 421 ""-"" ""sqlmap/1.6.7#stable"""
apache.log,"203.0.113.9 - - [23/Oct/2025:09:04:55 -0300] ""GET /robots.txt HTTP/1.1"" 200 68 ""-"" ""Mozilla/5.0"""
apache.log,"198.51.100.14 - - [23/Oct/2025:09:04:58 -0300] ""POST /wp-login.php HTTP/1.1"" 200 234 ""-"" ""curl/7.79.1"""
apache.log,"192.0.2.45 - - [23/Oct/2025:09:05:01 -0300] ""GET /index.php HTTP/1.1"" 200 4532 ""-"" ""Mozilla/5.0"""
auth.log,Oct 23 09:00:01 server sshd[1204]: Failed password for root from 203.0.113.88 port 4444 ssh2
auth.log,Oct 23 09:00:02 server sshd[1204]: Failed password for root from 203.0.113.88 port 4444 ssh2
auth.log,Oct 23 09:00:03 server sshd[1204]: Failed password for root from 203.0.113.88 port 4444 ssh2
auth.log,Oct 23 09:00:04 server sshd[1402]: Failed password for root from 203.0.113.88 port 4444 ssh2
auth.log,Oct 23 09:00:05 server sshd[1402]: Failed password for admin from 198.51.100.200 port 3333 ssh2
auth.log,Oct 23 09:00:06 server sshd[1500]: Accepted password for www-data from 192.168.1.10 port 2222 ssh2
auth.log,Oct 23 09:00:07 server sshd[1500]: Failed password for root from 198.51.100.200 port 3333 ssh2
auth.log,Oct 23 09:00:02 servidor sshd[3221]: Failed password for invalid user admin from 198.51.100.14 port 51234 ssh2
auth.log,Oct 23 09:00:05 servidor sshd[3221]: Failed password for invalid user admin from 198.51.100.14 port 51234 ssh2
auth.log,Oct 23 09:00:08 servidor sshd[3221]: Failed password for invalid user admin from 198.51.100.14 port 51234 ssh2
auth.log,Oct 23 09:00:11 servidor sshd[3221]: Failed password for invalid user admin from 198.51.100.14 port 51234 ssh2
auth.log,Oct 23 09:00:14 servidor sshd[3221]: Connection closed by 198.51.100.14 port 51234 [preauth]
auth.log,Oct 23 09:00:18 servidor sshd[3229]: Accepted publickey for deploy from 192.0.2.10 port 51255 ssh2: RSA SHA256:AbCdEfGh...
auth.log,Oct 23 09:01:03 servidor sshd[3301]: Failed password for root from 203.0.113.55 port 52311 ssh2
auth.log,Oct 23 09:01:06 servidor sshd[3301]: Failed password for root from 203.0.113.55 port 52311 ssh2
auth.log,Oct 23 09:01:09 servidor sshd[3301]: Failed password for root from 203.0.113.55 port 52311 ssh2
auth.log,Oct 23 09:01:12 servidor sshd[3301]: Failed password for root from 203.0.113.55 port 52311 ssh2
auth.log,Oct 23 09:01:15 servidor sshd[3301]: Connection closed by 203.0.113.55 port 52311 [preauth]
auth.log,Oct 23 09:02:00 servidor sshd[3310]: Failed password for invalid user test from 198.51.100.14 port 51250 ssh2
auth.log,Oct 23 09:02:03 servidor sshd[3310]: Failed password for invalid user test from 198.51.100.14 port 51251 ssh2
auth.log,Oct 23 09:02:06 servidor sshd[3310]: Failed password for invalid user test from 198.51.100.14 port 51252 ssh2
auth.log,Oct 23 09:02:09 servidor sshd[3310]: Failed password for invalid user test from 198.51.100.14 port 51253 ssh2
auth.log,Oct 23 09:02:12 servidor sshd[3310]: Failed password for invalid user test from 198.51.100.14 port 51254 ssh2
auth.log,Oct 23 09:02:15 servidor sshd[3310]: Connection closed by 198.51.100.14 port 51254 [preauth]
auth.log,Oct 23 09:03:20 servidor sshd[3325]: Failed password for root from 198.51.100.120 port 54000 ssh2
auth.log,Oct 23 09:03:23 servidor sshd[3325]: Failed password for root from 198.51.100.120 port 54001 ssh2
auth.log,Oct 23 09:03:26 servidor sshd[3325]: Failed password for root from 198.51.100.120 port 54002 ssh2
auth.log,Oct 23 09:03:29 servidor sshd[3325]: Failed password for root from 198.51.100.120 port 54003 ssh2
auth.log,Oct 23 09:03:32 servidor sshd[3325]: Failed password for root from 198.51.100.120 port 54004 ssh2
auth.log,Oct 23 09:03:35 servidor sshd[3325]: Failed password for root from 198.51.100.120 port 54005 ssh2
auth.log,Oct 23 09:03:38 servidor sshd[3325]: Connection closed by 198.51.100.120 port 54005 [preauth]
auth.log,Oct 23 09:04:10 servidor sshd[3332]: Accepted publickey for ubuntu from 192.0.2.15 port 52222 ssh2: RSA SHA256:ZyXwVuTs...
auth.log,Oct 23 09:05:00 servidor sshd[3340]: Failed password for invalid user admin from 203.0.113.77 port 55555 ssh2
auth.log,Oct 23 09:05:03 servidor sshd[3340]: Failed password for invalid user admin from 203.0.113.77 port 55556 ssh2
auth.log,Oct 23 09:05:06 servidor sshd[3340]: Failed password for invalid user admin from 203.0.113.77 port 55557 ssh2
auth.log,Oct 23 09:05:09 servidor sshd[3340]: Failed password for invalid user admin from 203.0.113.77 port 55558 ssh2
auth.log,Oct 23 09:05:12 servidor sshd[3340]: Failed password for invalid user admin from 203.0.113.77 port 55559 ssh2
auth.log,Oct 23 09:05:15 servidor sshd[3340]: Connection closed by 203.0.113.77 port 55559 [preauth]
auth.log,Oct 23 09:06:00 servidor sshd[3350]: Failed password for root from 198.51.100.200 port 57000 ssh2
auth.log,Oct 23 09:06:03 servidor sshd[3350]: Failed password for root from 198.51.100.200 port 57001 ssh2
auth.log,Oct 23 09:06:06 servidor sshd[3350]: Failed password for root from 198.51.100.200 port 57002 ssh2
auth.log,Oct 23 09:06:09 servidor sshd[3350]: Failed password for root from 198.51.100.200 port 57003 ssh2
auth.log,Oct 23 09:06:12 servidor sshd[3350]: Failed password for root from 198.51.100.200 port 57004 ssh2
auth.log,Oct 23 09:06:15 servidor sshd[3350]: Connection closed by 198.51.100.200 port 57004 [preauth]
auth.log,Oct 23 09:07:30 servidor sshd[3365]: Accepted password for deploy from 192.0.2.10 port 51255 ssh2
auth.log,Oct 23 09:08:00 servidor sshd[3370]: Failed password for invalid user test from 198.51.100.14 port 51260 ssh2
auth.log,Oct 23 09:08:03 servidor sshd[3370]: Failed password for invalid user test from 198.51.100.14 port 51261 ssh2
auth.log,Oct 23 09:08:06 servidor sshd[3370]: Failed password for invalid user test from 198.51.100.14 port 51262 ssh2
auth.log,Oct 23 09:08:09 servidor sshd[3370]: Failed password for invalid user test from 198.51.100.14 port 51263 ssh2
auth.log,Oct 23 09:08:12 servidor sshd[3370]: Connection closed by 198.51.100.14 port 51263 [preauth]
auth.log,Oct 23 09:09:40 servidor sshd[3388]: Failed password for root from 203.0.113.200 port 58000 ssh2
auth.log,Oct 23 09:09:43 servidor sshd[3388]: Failed password for root from 203.0.113.200 port 58001 ssh2
auth.log,Oct 23 09:09:46 servidor sshd[3388]: Failed password for root from 203.0.113.200 port 58002 ssh2
auth.log,Oct 23 09:09:49 servidor sshd[3388]: Connection closed by 203.0.113.200 port 58002 [preauth]
auth.log,Oct 23 09:10:00 servidor sshd[3395]: Accepted publickey for ubuntu from 192.0.2.20 port 52223 ssh2: RSA SHA256:QwErTyUi...
auth.log,Oct 23 09:10:30 servidor sshd[3400]: Failed password for invalid user admin from 198.51.100.14 port 51270 ssh2
auth.log,Oct 23 09:10:33 servidor sshd[3400]: Failed password for invalid user admin from 198.51.100.14 port 51271 ssh2
auth.log,Oct 23 09:10:36 servidor sshd[3400]: Failed password for invalid user admin from 198.51.100.14 port 51272 ssh2
auth.log,Oct 23 09:10:39 servidor sshd[3400]: Failed password for invalid user admin from 198.51.100.14 port 51273 ssh2
auth.log,Oct 23 09:10:42 servidor sshd[3400]: Connection closed by 198.51.100.14 port 51273 [preauth]
auth.log,Oct 23 09:11:00 servidor sudo:     admin : TTY=pts/2 ; PWD=/home/admin ; USER=root ; COMMAND=/usr/bin/apt update
auth.log,Oct 23 09:12:01 servidor sshd[3410]: Failed password for root from 203.0.113.55 port 52321 ssh2
auth.log,Oct 23 09:12:04 servidor sshd[3410]: Failed password for root from 203.0.113.55 port 52322 ssh2
auth.log,Oct 23 09:12:07 servidor sshd[3410]: Failed password for root from 203.0.113.55 port 52323 ssh2
auth.log,Oct 23 09:12:10 servidor sshd[3410]: Accepted publickey for ubuntu from 192.0.2.15 port 52224 ssh2: RSA SHA256:LlKjHgF...
auth.log,Oct 23 09:13:22 servidor sshd[3425]: Failed password for invalid user test from 198.51.100.120 port 54100 ssh2
auth.log,Oct 23 09:13:25 servidor sshd[3425]: Failed password for invalid user test from 198.51.100.120 port 54101 ssh2
auth.log,Oct 23 09:13:28 servidor sshd[3425]: Failed password for invalid user test from 198.51.100.120 port 54102 ssh2
auth.log,Oct 23 09:13:31 servidor sshd[3425]: Connection closed by 198.51.100.120 port 54102 [preauth]
auth.log,Oct 23 09:14:40 servidor sshd[3435]: Failed password for root from 198.51.100.200 port 57200 ssh2
auth.log,Oct 23 09:14:43 servidor sshd[3435]: Failed password for root from 198.51.100.200 port 57201 ssh2
auth.log,Oct 23 09:14:46 servidor sshd[3435]: Failed password for root from 198.51.100.200 port 57202 ssh2
auth.log,Oct 23 09:14:49 servidor sshd[3435]: Connection closed by 198.51.100.200 port 57202 [preauth]
auth.log,Oct 23 09:15:00 servidor sshd[3442]: Accepted password for deploy from 192.0.2.10 port 51260 ssh2
auth.log,Oct 23 09:15:30 servidor sshd[3450]: Failed password for invalid user admin from 203.0.113.77 port 55600 ssh2
